Poker Room,Table Name,Table No.,Seat No.,Players,Nationality,Chips,Keyplayer
Merit Hall,Ocean Blue,4,4,Maxine Kulas,ET,"30,000",
Merit Hall,Ocean Blue,4,5,Gregory Romaguera,TC,"30,000",
Merit Hall,Ocean Blue,4,6,SOHEE,KR,"30,000",TRUE
Merit Hall,Ocean Blue,4,7,Tamara Fritsch,MW,"30,000",
Merit Hall,Ocean Blue,4,8,Leslie Howell,GH,"30,000",
Merit Hall,Ocean Blue,4,9,WOLFKING,KR,"30,000",TRUE
Merit Hall,Ocean Blue,5,1,Kyle Spinka,AU,"30,000",
Merit Hall,Ocean Blue,5,2,Jody Murazik,GY,"30,000",
Merit Hall,Ocean Blue,5,3,Jeff Luettgen,WS,"30,000",
Merit Hall,Ocean Blue,5,4,Glen Rempel,SK,"30,000",
Merit Hall,Ocean Blue,5,5,Santos King,EE,"30,000",
Merit Hall,Ocean Blue,5,6,Marco Price,ET,"30,000",
Merit Hall,Ocean Blue,5,7,Eugene O'Hara,SA,"30,000",
Merit Hall,Ocean Blue,5,8,WOLFKING,KR,"30,000",TRUE
Merit Hall,Ocean Blue,6,1,Deanna Considine,PR,"30,000",
Merit Hall,Ocean Blue,6,2,Teri Kreiger,IT,"30,000",
Merit Hall,Ocean Blue,6,3,Ora Kunze,NI,"30,000",
Merit Hall,Ocean Blue,6,5,Diana Feil,SJ,"30,000",
Merit Hall,Ocean Blue,6,6,Sherri Morar,VI,"30,000",
Merit Hall,Ocean Blue,6,7,Katie Hills,BR,"30,000",TRUE
Merit Hall,Ocean Blue,6,8,Jacob Smitham,CI,"30,000",
Merit Hall,Ocean Blue,6,9,Jacob Sussman,US,"30,000",
Merit Hall,Ocean Blue,7,1,Colin Bailey,MH,"30,000",
Merit Hall,Ocean Blue,7,2,Janet Smitham,UY,"30,000",
Merit Hall,Ocean Blue,7,3,Emily Beier,SN,"30,000",
Merit Hall,Ocean Blue,7,4,Noah Harvey,GA,"30,000",
Merit Hall,Ocean Blue,7,5,Jasmine Ernser,AI,"30,000",
Merit Hall,Ocean Blue,7,6,Viola Olson,WF,"30,000",
Merit Hall,Ocean Blue,7,7,Alonzo Goldner,GM,"30,000",TRUE
Merit Hall,Ocean Blue,7,8,Heidi Swift,GW,"30,000",
Merit Hall,Ocean Blue,7,9,Dianne Erdman,AX,"30,000",
Merit Hall,Ocean Blue,8,1,Eden Hazard,BE,"30,000",
Merit Hall,Ocean Blue,8,3,Brendan Schinner,PR,"30,000",
Merit Hall,Ocean Blue,8,4,Lucas Mann,ML,"30,000",
Merit Hall,Ocean Blue,8,5,Alvin Kling,ZW,"30,000",
Merit Hall,Ocean Blue,8,6,Eva Crooks,CK,"30,000",
Merit Hall,Ocean Blue,8,7,Pauline Lebsack,AR,"30,000",TRUE
Merit Hall,Ocean Blue,8,8,Seth Goodwin,VU,"30,000",
Merit Hall,Ocean Blue,8,9,Susan Abshire,TJ,"30,000",
Merit Hall,Ocean Blue,9,1,Victoria Greenholt,IE,"30,000",
Merit Hall,Ocean Blue,9,2,Raul Kuvalis,SH,"30,000",
Merit Hall,Ocean Blue,9,3,Shannon Hackett,ZM,"30,000",
Merit Hall,Ocean Blue,9,4,Dominic Bauch,ZM,"30,000",
Merit Hall,Ocean Blue,9,5,Adam Kertzmann,HK,"30,000",
Merit Hall,Ocean Blue,9,6,Stephen Swaniawski,TG,"30,000",
Merit Hall,Ocean Blue,9,7,Marjorie Goldner,UG,"30,000",
Merit Hall,Ocean Blue,9,9,Darryl Lakin,AO,"30,000",TRUE
Merit Hall,Ocean Blue,10,2,Cristina Marvin,IS,"30,000",
Merit Hall,Ocean Blue,10,3,Enrique Kiehn,PN,"30,000",
Merit Hall,Ocean Blue,10,4,Wilbur McLaughlin,KN,"30,000",
Merit Hall,Ocean Blue,10,5,Lynn Hahn,QA,"30,000",
Merit Hall,Ocean Blue,10,6,Iris Windler,AM,"30,000",TRUE
Merit Hall,Ocean Blue,10,7,Delores Collins,OM,"30,000",
Merit Hall,Ocean Blue,10,8,Erick Goyette,BH,"30,000",
Merit Hall,Ocean Blue,10,9,Geoffrey Wunsch,KR,"30,000",
Merit Hall,Ocean Blue,11,1,Paul Yoo,US,"30,000",
Merit Hall,Ocean Blue,11,2,Rene Emmerich,FO,"30,000",
Merit Hall,Ocean Blue,11,3,Maureen Daugherty,MX,"30,000",
Merit Hall,Ocean Blue,11,4,Lowell Pacocha,AQ,"30,000",
Merit Hall,Ocean Blue,11,5,Kristie Carroll,MG,"30,000",
Merit Hall,Ocean Blue,11,6,Marlene Kunze,PL,"30,000",
Merit Hall,Ocean Blue,11,8,Clara DuBuque,CX,"30,000",TRUE
Merit Hall,Ocean Blue,11,9,Delores Davis,LA,"30,000",
Merit Hall,Ocean Blue,12,1,Jonathon Hirthe,CG,"30,000",
Merit Hall,Ocean Blue,12,2,Bryan Stamm,GF,"30,000",
Merit Hall,Ocean Blue,12,3,Jessie Glover,LV,"30,000",
Merit Hall,Ocean Blue,12,4,Darin Balistreri,GT,"30,000",
Merit Hall,Ocean Blue,12,5,Sonja Fritsch,VE,"30,000",
Merit Hall,Ocean Blue,12,6,Chelsea Kertzmann,FI,"30,000",
Merit Hall,Ocean Blue,12,7,Martha Schultz,LV,"30,000",
Merit Hall,Ocean Blue,12,8,Willard Lockman,PY,"30,000",
Merit Hall,Ocean Blue,12,9,John Kuvalis,ME,"30,000",
